SMILES,PMF,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
CC(C)(C)CCOCCOCCOCCO,27.350392,-0.55,3.16,2.7,5.93,-2.88,-0.15,0.81,0.43,0.18,1.61,-0.21,-0.32,-0.37,-0.39,-0.85,7.91,-0.91,-0.37,-0.54,0.05,0.98,0.5,-0.26,1.52,0.66,-3.61,-0.07,0.0,-0.42,-0.4,0.67,-0.41
CC(C)(C)CC1=CC=C(C=C1)OCCO,24.662165,-0.29,8.47,3.2,-3.46,-1.99,-0.1,1.85,-0.49,-0.54,1.91,-0.93,5.47,2.41,4.9,-1.31,5.8,0.56,-0.3,0.87,-1.48,-2.17,0.47,-1.79,-3.56,-0.45,5.67,5.2,-7.11,0.44,0.51,-0.19,0.44
CC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.576682,-5.0,-2.99,3.01,-0.23,-2.35,-0.38,1.17,0.03,0.01,1.65,-0.41,-0.33,-0.39,-0.89,-0.21,8.44,2.07,-0.39,-0.57,0.12,0.68,0.03,0.82,1.45,0.31,-3.65,-0.07,0.0,-0.52,-0.5,0.51,-0.47
CC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.347666,-5.55,-4.59,3.44,-1.34,-2.34,-0.07,0.58,0.48,0.32,1.39,-0.09,-0.26,-0.39,-0.18,-1.18,7.7,-2.79,-0.38,-0.58,-0.04,1.24,0.85,-1.04,1.61,0.92,-3.58,-0.08,0.0,-0.39,-0.38,0.8,-0.33
CC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,56.27034091086914,11.27,-3.36,2.73,-0.69,-2.71,-0.27,1.67,-0.72,-0.73,1.72,-0.27,-4.95,5.19,3.07,-3.7,4.97,1.05,-0.03,0.87,-1.57,-2.95,0.5,-1.76,-1.39,0.18,5.67,-4.99,7.11,0.73,0.62,-0.04,0.82
CCCCCCOCCOCCOCCO,27.367574,-0.48,3.17,-0.4,6.11,3.4,-2.57,2.34,1.77,0.49,0.94,-0.49,-0.24,0.5,0.68,0.21,-0.31,-0.56,0.47,0.34,1.06,0.26,-0.06,-0.06,0.06,-0.0,-0.0,0.0,0.0,1.1,1.77,-1.21,0.58
CCCCCC1=CC=C(C=C1)OCCO,33.052967,-0.02,8.0,0.38,-2.85,4.7,-2.3,2.09,1.29,0.81,0.65,-0.29,-0.64,1.69,-3.6,-1.28,-0.14,-0.32,0.07,-0.03,-0.52,-0.24,-3.01,-1.63,0.04,0.51,0.01,-0.03,-0.0,-4.07,-1.19,1.95,-1.11
CCCCCCOC1C(C(C(C(O1)CO)O)O)O,37.64668101285885,-4.95,-3.0,-0.11,-0.09,4.0,-2.79,2.69,1.36,0.35,0.97,-0.7,-0.26,0.53,0.26,0.88,0.17,2.44,0.47,0.4,1.14,-0.11,-0.53,1.02,-0.02,-0.35,-0.04,0.01,0.0,1.03,1.7,-1.34,0.45
CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,54.065311,-5.49,-4.6,0.32,-1.21,4.01,-2.48,2.11,1.82,0.66,0.72,-0.38,-0.19,0.54,0.96,-0.09,-0.57,-2.41,0.47,0.39,0.98,0.45,0.29,-0.84,0.14,0.25,0.03,-0.0,0.0,1.16,1.83,-1.05,0.59
CCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,54.2173462741391,11.24,-3.47,-0.03,-0.22,4.42,-2.32,2.02,0.73,0.7,1.47,-0.1,1.21,-3.75,0.58,-1.49,-0.24,0.5,0.14,-0.87,-1.34,0.1,3.67,1.25,-0.07,-0.55,0.01,0.02,-0.0,1.3,-3.29,1.84,-0.82
