row_id,SMILES,PMF,PMF_corrected,PMF_correction_delta,correction_flag,anomaly_level,robust_z_rf,abs_robust_z_rf,robust_z_huber,abs_robust_z_huber,robust_z_final,abs_robust_z_final,anomaly_score_rf,anomaly_score_huber,anomaly_score_final,PMF_hat_MW,residual_MW,residual_hat_struct_rf,residual_hat_struct_huber,residual_hat_struct_final,PMF_target_reasonable,lambda_used,MolValid,MW,TPSA,HBD,HBA,AromaticRingCount,RotatableBonds,LogP,used_for_model
0,CC(C)(C)CCOCCOCCOCCO,27.350392,27.350392,0.0,unchanged,normal,0.447027285526678,0.447027285526678,0.06070221001698085,0.06070221001698085,0.23969945900918666,0.23969945900918666,2.7011499398082606,-0.33304170614633444,1.184054116830963,25.535629959083078,1.8147620409169214,-0.8863878988913393,2.147803747063256,0.6307079240859583,26.166337883169035,1.0,1.0,234.33599999999993,47.92,1.0,4.0,0.0,10.0,1.4647,1
1,CC(C)(C)CC1=CC=C(C=C1)OCCO,24.662165,24.662165,0.0,flag_only,mild,-1.239085561593348,1.239085561593348,-0.4667138193163168,0.4667138193163168,-0.8243864463900404,0.8243864463900404,-10.626705744086163,-4.1936274343708835,-7.410166589228523,28.27990264620986,-3.617737646209857,7.008968097876306,0.5758897881610262,3.792428943018666,32.072331589228526,1.0,1.0,208.30099999999996,29.46,1.0,2.0,1.0,4.0,2.6463000000000014,1
2,CC(C)(C)CCOC1C(C(C(C(O1)CO)O)O)O,43.576682,43.576682,0.0,unchanged,normal,0.4993679408798169,0.4993679408798169,1.0509481021149025,1.0509481021149025,0.7140399657775724,0.7140399657775724,3.1148759262620214,6.915371208604773,5.015123567433397,31.43773121835639,12.138950781643608,9.024074855381587,5.223579573038835,7.123827214210211,38.5615584325666,1.0,1.0,264.318,99.38000000000001,4.0,6.0,0.0,4.0,-0.7608999999999999,1
3,CC(C)(C)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,50.347666,50.347666,0.0,unchanged,normal,-0.7389114716264112,0.7389114716264112,-0.7425889123803207,0.7425889123803207,-0.7046417464392367,0.7046417464392367,-6.673086566527033,-6.212981014507271,-6.443033790517152,52.82070035431397,-2.473034354313974,4.200052212213059,3.739946660193297,3.969999436203178,56.79069979051715,1.0,1.0,426.4590000000001,178.53,7.0,11.0,0.0,7.0,-2.936699999999996,1
4,CC(C)(C)CC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,41.645473,56.27034091086914,14.624867910869135,corrected_strong,strong,-2.0810477473437126,2.0810477473437126,-1.9727765607284604,1.9727765607284604,-1.918864501920233,1.918864501920233,-17.28198419839852,-15.21772227019954,-16.249853234299028,52.90215808771811,-11.256685087718104,6.0252991106804155,3.961037182481436,4.993168146580926,57.895326234299034,0.1,1.0,438.51400000000024,133.14000000000001,3.0,10.0,0.0,16.0,-0.48629999999999657,1
5,CCCCCCOCCOCCOCCO,27.367574,27.367574,0.0,unchanged,normal,0.46393174374989155,0.46393174374989155,0.45944234004822904,0.45944234004822904,0.42865983885980535,0.42865983885980535,2.834770996072815,2.5856607406013374,2.7102158683370763,25.535629959083078,1.8319440409169232,-1.0028269551558917,-0.7537166996844145,-0.8782718274201531,24.657358131662924,1.0,1.0,234.33599999999993,47.92,1.0,4.0,0.0,13.0,1.6087999999999998,1
6,CCCCCC1=CC=C(C=C1)OCCO,33.052967,33.052967,0.0,unchanged,normal,0.806568264752178,0.806568264752178,0.5507826261622333,0.5507826261622333,0.6377174662160485,0.6377174662160485,5.5431366382361835,3.25425438465388,4.398695511445032,28.27990264620986,4.773064353790144,-0.7700722844460397,1.5188099691362635,0.3743688423451119,28.654271488554972,1.0,1.0,208.30099999999996,29.46,1.0,2.0,1.0,7.0,2.7904000000000013,1
7,CCCCCCOC1C(C(C(C(O1)CO)O)O)O,23.444089,37.64668101285885,14.202592012858847,corrected_strong,strong,-1.8350765884583948,1.8350765884583948,-2.1101960542084073,2.1101960542084073,-1.8607714794072827,1.8607714794072827,-15.337708574365852,-16.223607009764915,-15.780657792065384,31.43773121835639,-7.993642218356388,7.3440663560094634,8.229964791408527,7.787015573708995,39.22474679206539,0.1,1.0,264.318,99.38000000000001,4.0,6.0,0.0,7.0,-0.6167999999999998,1
8,CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,54.065311,54.065311,0.0,unchanged,normal,0.12317037663404472,0.12317037663404472,-0.3491628139058587,0.3491628139058587,-0.104507335180983,0.104507335180983,0.1412274818745165,-3.3331762751603335,-1.5959743966429085,52.82070035431397,1.2446106456860306,1.1033831638115141,4.577786920846364,2.8405850423289394,55.66128539664291,1.0,1.0,426.4590000000001,178.53,7.0,11.0,0.0,10.0,-2.792599999999996,1
9,CCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,66.006708,54.2173462741391,-11.7893617258609,corrected_strong,strong,1.6742142118294596,1.6742142118294596,1.9911060162596723,1.9911060162596723,1.7149740481346505,1.7149740481346505,12.401432028793002,13.797149584231233,13.099290806512117,52.90215808771811,13.104549912281897,0.7031178834888951,-0.6925996719493372,0.005259105769778949,52.90741719348789,0.1,1.0,438.51400000000024,133.14000000000001,3.0,10.0,0.0,19.0,-0.3421999999999971,1
